CMIP6 Compund Name       CF Standard Name                                                                                                              Physical Parameter Title                                                                                                                             Description
Oday.rsdo                downwelling_shortwave_flux_in_sea_water                                                                                       rsdo               Downwelling Shortwave Radiation in Sea Water                                                                                      Downwelling Shortwave Radiation in Sea Water
Oday.so                  sea_water_salinity                                                                                                            so                 Sea water salinity                                                                                                                Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation.
Oday.sos                 sea_surface_salinity                                                                                                          sos                Sea Surface Salinity                                                                                                              Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand.
Oday.thetao200           sea_water_potential_temperature                                                                                               thetao             Sea Water Potential Temperature at 200 meters                                                                                     Diagnostic should be contributed even for models using conservative temperature as prognostic field.
Oday.tos                 sea_surface_temperature                                                                                                       tos                Sea Surface Temperature                                                                                                           This may differ from "surface temperature" in regions of sea ice or floating ice shelves. For models using conservative temperature as the prognostic field, they should report the top ocean layer as surface potential temperature, which is the same as surface in situ temperature.
Oday.tossq               square_of_sea_surface_temperature                                                                                             tossq              Square of Sea Surface Temperature                                                                                                 Square of temperature of liquid ocean, averaged over the day.
Oday.uos                 surface_sea_water_x_velocity                                                                                                  uos                Daily Surface Sea Water X Velocity                                                                                                Daily surface prognostic x-ward velocity component resolved by the model.
Oday.vos                 surface_sea_water_y_velocity                                                                                                  vos                Daily Surface Sea Water Y Velocity                                                                                                Daily surface prognostic y-ward velocity component resolved by the model.
Oday.wo                  upward_sea_water_velocity                                                                                                     wo                 Sea Water Vertical Velocity                                                                                                       Prognostic z-ward velocity component resolved by the model.
Oday.zmeso               mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water                                                        zmeso              Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water                                                            carbon concentration from mesozooplankton (20-200 um) component alone
Oday.zmicro              mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water                                                       zmicro             Mole Concentration of microzooplankton Expressed as Carbon in Sea Water                                                           carbon concentration from the microzooplankton (<20 um) component alone
