CMIP6 Compund Name       CF Standard Name                                                                              Physical Parameter Title                                                                 Description
SImon.sihc               sea_ice_enthalpy_content                                                                      sihc               Sea-Ice Heat Content                                                  Heat content of all ice in grid cell divided by grid-cell area. This includes both the latent and sensible heat content contributions. Water at 0C is assumed to have a heat content of 0 J. This variable does not include heat content of snow, but does include heat content of brine in the sea ice. Heat content is always negative since both the sensible and the latent heat content of ice are less than that of water.
SImon.siitdconc          sea_ice_area_fraction                                                                         siitdconc          Sea-Ice Area Percentages in Ice Thickness Categories                  Percentage of grid cell covered by each ice thickness category (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of the categories as third coordinate axis).
SImon.siitdsnconc        surface_snow_area_fraction                                                                    siitdsnconc        Snow Area Percentages in Ice Thickness Categories                     Percentage of grid cell covered by snow in each ice thickness category (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of the categories as third coordinate axis).
SImon.siitdsnthick       surface_snow_thickness                                                                        siitdsnthick       Snow Thickness in Ice Thickness Categories                            Actual thickness of snow in each ice thickness category, NOT snow volume divided by grid area (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of categories as third coordinate axis). It can also be derived by dividing the volume of snow by the area of snow in each thickness category.
SImon.siitdthick         sea_ice_thickness                                                                             siitdthick         Sea-Ice Thickness in Ice Thickness Categories                         Actual (floe) thickness of sea ice in each ice thickness category, NOT volume divided by grid area (vector with one entry for each ice thickness category starting from the thinnest category, netcdf file should use thickness bounds of categories as third coordinate axis).
SImon.simass             sea_ice_amount                                                                                simass             Sea-Ice Mass                                                          Total mass of sea ice divided by grid-cell area.
SImon.simassacrossline   sea_ice_transport_across_line                                                                 simassacrossline   Sea-Ice Mass Flux Through Straits                                     Net (sum of transport in all directions) sea ice mass transport through the following four passages, positive into the Arctic Ocean. Note that the definitions of the passages are for SIMIP purposes just meant as default values as given by the physical ocean MIP described in Griffies et al. (2016). Individual models might chose slightly different definitions as given by their grid geometry. 1. Fram Strait: (11.5W, 81.3N) to (10.5E, 79.6N). 2. Canadian Arctic Archipelago: (128.2W, 70.6N) to (59.3W, 82.1N). 3. Barents Sea Opening: (16.8E, 76.5N) to (19.2E, 70.2N). 4. Bering Strait: (171W, 66.2N) to (166W, 65N).
SImon.simpconc           area_fraction                                                                                 simpconc           Fraction of Sea Ice Covered by Melt Pond                              Area fraction of sea-ice surface that is covered by melt ponds.
SImon.simpeffconc        area_fraction                                                                                 simpeffconc        Fraction of Sea Ice Covered by Effective Melt Pond                    Area fraction of sea-ice surface that is covered by open melt ponds, that is melt ponds that are not covered by snow or ice lids. This represents the effective (i.e. radiatively-active) melt pond area fraction.
SImon.simprefrozen       thickness_of_ice_on_sea_ice_melt_pond                                                         simprefrozen       Thickness of Refrozen Ice on Melt Pond                                Volume of refrozen ice on melt ponds divided by melt pond covered area.
SImon.simpthick          sea_ice_melt_pond_thickness                                                                   simpthick          Melt Pond Depth                                                       Average depth of melt ponds on sea ice, that is melt pond volume divided by melt pond area.
SImon.sipr               rainfall_flux                                                                                 sipr               Rainfall Rate over Sea Ice                                            Mass of liquid precipitation falling onto sea ice divided by grid-cell area. If the rain is directly put into the ocean, it should not be counted towards sipr. Always positive or zero.
SImon.sirdgconc          area_fraction                                                                                 sirdgconc          Fraction of Ridged Sea Ice                                            Area fraction of sea-ice surface that is ridged sea ice.
SImon.sirdgthick         sea_ice_thickness                                                                             sirdgthick         Ridged Ice Thickness                                                  Total volume of ridged sea ice divided by area of ridges, i.e. mean thickness of ridged sea ice.
SImon.sisali             sea_ice_salinity                                                                              sisali             Sea-Ice Salinity                                                      Mean sea-ice salinity of all sea ice in grid cell. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the mean salinity used in the calculation of the salt budget should be reported.
SImon.sisaltmass         sea_ice_mass_content_of_salt                                                                  sisaltmass         Mass of Salt in Sea Ice                                               Total mass of all salt in sea ice divided by grid-cell area. Sometimes, models implicitly or explicitly assume a different salinity of the ice for thermodynamic considerations than they do for closing the salt budget with the ocean. In these cases, the total mass of all salt in sea ice should be calculated from the salinity value used in the calculation of the salt budget.
SImon.sishearvel         maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_strain_rate                      sishearvel         Maximum Shear of Sea-Ice Velocity Field                               Maximum shear of sea-ice velocity field (second shear strain invariant). Requested as instantaneous value at the center of the month (i.e., first timestep of the 15th day of the month).
SImon.sisnconc           surface_snow_area_fraction                                                                    sisnconc           Snow Area Percentage                                                  Percentage of the sea-ice surface that is covered by snow. In many models that do not explicitly resolve an areal fraction of snow, this variable will always be either 0 or 1.
