CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
Emon.sweLut,lwe_thickness_of_surface_snow_amount,sweLut,m,Snow Water Equivalent on Land-Use Tile,"The surface called ""surface"" means the lower boundary of the atmosphere. ""lwe"" means liquid water equivalent. ""Amount"" means mass per unit area. The construction lwe_thickness_of_X_amount or _content means the vertical extent of a layer of liquid water having the same mass per unit area. Surface amount refers to the amount on the ground, excluding that on the plant or vegetation canopy."
Emon.tasLut,air_temperature,tasLut,K,Near-Surface Air Temperature on Land Use Tile,"Air temperature is the bulk temperature of the air, not the surface (skin) temperature."
Emon.treeFracBdlDcd,area_fraction,treeFracBdlDcd,%,Broadleaf Deciduous Tree Area Percentage,This is the percentage of the entire grid cell that is covered by broadleaf deciduous trees.
Emon.treeFracBdlEvg,area_fraction,treeFracBdlEvg,%,Broadleaf Evergreen Tree Area Percentage,This is the percentage of the entire grid cell that is covered by broadleaf evergreen trees.
Emon.treeFracNdlDcd,area_fraction,treeFracNdlDcd,%,Needleleaf Deciduous Tree Area Percentage,This is the percentage of the entire grid cell that is covered by needleleaf deciduous trees.
Emon.treeFracNdlEvg,area_fraction,treeFracNdlEvg,%,Needleleaf Evergreen Tree Area Percentage,This is the percentage of the entire grid cell that is covered by needleleaf evergreen trees.
Emon.tslsiLut,surface_temperature,tslsiLut,K,Surface Temperature on Landuse Tile,Surface temperature (i.e. temperature at which long-wave radiation emitted)
Emon.vegFrac,area_fraction,vegFrac,%,Total Vegetated Percentage Cover,"Percentage of grid cell that is covered by vegetation.This SHOULD be the sum of tree, grass (natural and pasture), crop and shrub fractions."
Emon.vegHeight,canopy_height,vegHeight,m,Height of the Vegetation Canopy,Vegetation height averaged over all vegetation types and over the vegetated fraction of a grid cell.
Emon.vegHeightGrass,canopy_height,vegHeightGrass,m,Height of Grass,Vegetation height averaged over the grass fraction of a grid cell.
Emon.vegHeightShrub,canopy_height,vegHeightShrub,m,Height of Shrubs,Vegetation height averaged over the shrub fraction of a grid cell.
Emon.vegHeightTree,canopy_height,vegHeightTree,m,Height of Trees,Vegetation height averaged over the tree fraction of a grid cell.
Emon.wetlandCH4,surface_net_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_processes,wetlandCH4,kg m-2 s-1,Grid Averaged Methane Emissions from Wetlands,"Net upward flux of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
Emon.wetlandCH4cons,surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,wetlandCH4cons,kg m-2 s-1,Grid Averaged Methane Consumption (Methanotrophy) from Wetlands,"Biological consumption (methanotrophy) of methane (NH4) by wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
Emon.wetlandCH4prod,surface_upward_mass_flux_of_methane_due_to_emission_from_wetland_biological_production,wetlandCH4prod,kg m-2 s-1,Grid Averaged Methane Production (Methanogenesis) from Wetlands,"Biological emissions (methanogenesis) of methane (NH4) from wetlands (areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season)."
